m,merr,pt,p
5234.488,13.554,6376.78384455,159572.734192
5280.789,12.942,9289.42062919,129209.849696
5405.885,15.965,19315.554029,259690.453466
5283.491,13.192,4162.40513335,80326.2577794
5852.2,14.927,14891.8175516,260481.09425
5854.313,14.928,14892.0479725,260478.7413
5279.021,15.005,14892.6221091,260487.419959
5279.021,15.005,14892.6221091,260487.419959
5299.958,12.7,2302.31860914,96030.3928908
5244.289,14.334,16527.0137183,180877.589584
5266.667,16.662,8851.5181253,179985.91594
5265.739,13.063,3921.39850433,105073.579773
5272.62,14.372,12749.0219038,138033.75122
5217.74,14.327,12634.0624057,136221.059586
5283.393,13.678,6487.33731021,128084.283981
5296.26,15.099,3372.59921796,134985.958461
5316.182,15.344,3360.98302718,146033.901782
5397.57,13.721,9819.76785435,154907.426748
5272.168,25.668,17904.4158935,665165.812233
5295.765,9.943,5496.83909745,43888.4880176
5232.866,12.581,4642.97786905,106926.991124
5171.669,13.586,4300.65088605,114608.029099
5228.868,16.801,3290.08491442,121509.640554
5528.804,11.721,1856.36666456,69578.3285648
5101.628,11.471,2382.14281933,80504.7316366
5806.83,12.529,2410.57759535,98358.9236192
6166.393,12.886,2385.87212568,95608.9237494
5449.34,12.004,15965.851621,110203.389404
5287.542,12.585,9192.91793263,138163.331978
5278.197,20.382,5719.46514633,282432.197681
5228.149,10.652,3683.71781526,63158.4679425
5239.632,12.189,2752.12205952,63734.3176424
5293.572,11.049,5887.46685808,68600.6449682
5294.056,16.914,21371.3858537,165637.607423
5299.445,25.028,7784.29206254,229438.489107
6410.26,29.062,6365.39772364,196816.55108
5494.928,25.622,7283.91810807,219983.512705
6509.405,27.396,7283.91810807,219983.512705
5289.635,13.353,8678.52120882,146282.742384
5207.874,19.972,14538.6477485,544919.562674
5263.441,11.79,4757.85621105,66745.843536
5260.837,11.789,4757.20315636,66749.5773492
5263.028,11.783,4758.31497042,66746.1256033
5442.246,11.793,4758.31497042,66746.1256033
5254.35,19.456,8605.66386239,171982.420232
5250.785,14.206,18035.004022,138077.637392
5284.061,10.645,6855.07872989,66602.6587721
5398.081,12.892,8681.62183338,71095.5659741
5996.666,14.212,5131.51399204,120388.144459
5845.228,14.269,5131.51399204,120388.144459
5228.885,12.68,33279.8172034,145306.083892
5226.318,12.681,33284.8232807,145327.214734
5259.041,12.648,33283.0501957,145321.338027
5259.041,12.648,33283.0501957,145321.338027
5276.887,13.475,3094.37782995,120885.270877
5017.816,12.963,2577.50752911,110647.705234
5324.581,13.553,12600.2430044,97009.7901839
5274.862,11.825,4688.76280204,37742.7338801
5278.715,12.636,2233.54647724,84191.7823929
5262.104,16.441,6987.05140363,170200.15658
5271.277,24.313,31361.22953,354548.795482
6502.163,33.934,29550.3575201,344153.461417
5274.178,11.337,13515.150781,53972.8519874
6567.269,16.22,4825.60199074,91999.1650273
5588.832,14.557,4617.9339662,94848.174858
6586.862,16.19,4825.61845425,92000.8735369
6418.513,16.129,3920.24515511,96710.5279355
6570.091,16.198,4831.94035464,92005.2497597
6570.091,16.198,4831.94035464,92005.2497597
5297.064,12.913,6230.2075213,85501.0704099
5291.089,40.449,27899.4293155,712054.481985
5281.449,14.702,5836.63420551,151167.739171
5295.474,14.648,4169.46334524,186723.267112
4989.392,13.992,4015.01909307,194512.902227
5138.166,15.808,7966.33482804,282747.207068
5312.482,28.956,17212.9598979,504524.464455
5290.03,13.535,9070.23369059,220959.921524
5241.564,13.124,9265.07322502,139094.196595
5421.11,13.045,9266.11708545,139104.293807
5840.197,13.073,8370.869951,129091.947271
5104.143,11.669,8394.59118965,121706.399894
5434.064,11.459,9720.25813549,54597.1159929
5296.915,10.392,3927.68861375,46225.8449484
5233.394,15.782,14811.3992446,305188.035628
5294.701,16.923,3414.13794169,34262.8460707
5465.368,11.826,1922.30291978,64615.2905563
5385.819,14.566,10141.5915022,148251.499871
5261.517,12.444,6723.08286729,130768.238595
5061.313,11.681,4862.20725632,115379.085026
5601.535,10.931,6839.71826473,73129.9859351
5394.344,11.208,7701.44193103,77798.2111001
5328.253,11.697,683.071416544,78175.4942822
5431.354,11.831,8106.69522225,69406.954587
5254.551,14.352,2702.51525306,66531.3609758
5333.835,14.758,2678.09148092,72269.1982837
5370.795,14.893,2547.35627263,69956.4943804
5536.067,14.923,2547.35627263,69956.4943804
5256.227,12.054,1435.68393809,112237.032676
5547.343,15.249,13841.5692092,162793.100735
5281.713,9.278,1224.93010368,41641.9800183
5258.034,9.285,1223.40137571,41641.985056
5282.152,12.675,11484.5406816,103887.715735
5576.993,11.711,2690.47225691,64580.3779947
5253.802,12.215,3604.98839705,65525.4123391
5266.608,13.73,6823.38913569,132761.472902
5277.487,17.326,11031.9070588,270863.990226
5281.897,14.244,4380.18190536,102316.301242
5363.856,13.536,6957.79235333,143957.55119
5201.479,14.018,6990.00268419,119938.351802
5220.735,13.675,1866.45899542,109445.86619
5110.697,13.702,1313.32369144,110203.055919
6516.288,14.806,12767.7566186,96751.6436001
5254.58,18.41,33179.8991346,300314.220923
5243.277,12.124,17554.5461253,127155.680649
5043.365,22.38,7453.34272705,279197.763338
5252.646,22.435,7450.40632466,279198.564651
5221.216,10.206,6317.30369576,37840.5288527
5099.932,11.384,5338.47120618,74005.9283789
5270.062,13.753,3171.41453402,102473.687136
5407.401,12.676,3570.99980948,50016.9300972
5296.277,11.975,9777.73850995,74912.8734644
5240.08,14.33,10466.0165523,142662.24296
5269.998,13.618,10664.639656,215817.937543
6055.482,12.942,9066.20335632,177342.585285
4935.684,12.977,9352.48836014,184633.963614
5033.2,14.841,8228.82842013,164573.213648
5289.544,18.215,651.954064793,221885.847801
5479.745,13.047,5623.38308499,109028.975075
5276.162,12.859,6898.22966653,129004.046448
5974.845,12.527,5713.59499381,106948.819568
5325.855,12.675,5713.59499381,106948.819568
5264.573,16.312,13787.2429941,230566.279169
5382.003,24.843,11546.3963392,426321.788589
5242.371,15.033,3149.36666665,128545.505555
5295.349,9.76,6183.48499748,47278.8356917
5285.935,17.248,10106.2712888,290028.154181
5297.212,13.422,6605.43828633,74358.4993062
4914.987,12.765,6284.84562121,67028.6253579
4914.987,12.765,6284.84562121,67028.6253579
5328.817,11.595,1813.69921795,58842.4684339
5167.815,15.905,4370.35549108,171316.553852
5273.975,13.52,33126.6782422,192744.324743
5300.72,12.448,2441.2786591,105033.085091
5828.392,12.813,2815.72750262,101581.961757
5314.791,21.269,11915.002424,257115.395356
5677.59,21.013,10528.2080849,216393.956025
5265.332,21.368,11914.5385135,257115.513708
5680.354,20.974,10526.9882259,216398.900747
5264.474,21.388,11915.5537659,257120.485459
5122.523,21.164,9758.18176691,203613.43504
5680.354,20.974,10526.9882259,216398.900747
5184.737,21.544,11915.5537659,257120.485459
5122.523,21.164,9758.18176691,203613.43504
5257.281,17.579,14761.1299818,324195.89265
5282.327,14.349,14781.8079075,266746.7329
5286.537,14.766,14287.8069304,435482.318546
5263.5,10.993,6546.6322105,89772.3840955
5253.255,10.414,5667.35155088,82416.1986701
5974.662,14.077,5397.72761326,139936.011559
5285.28,10.396,917.016351654,49803.1931361
4918.197,9.959,1469.7013564,49383.6646482
5295.639,11.086,10257.96681,166713.039116
5267.448,13.767,11014.0705849,194708.565813
5052.123,12.757,8660.4390232,152964.472226
5283.25,15.762,9684.71573068,147547.675158
5268.996,14.23,5912.95649397,158296.224079
5286.328,10.992,6220.84791095,47734.075718
5280.486,9.108,3860.77754096,39016.9742159
5413.528,12.092,8709.99928785,78284.0824145
5269.24,15.897,9757.78527542,216113.929836
5424.486,25.231,2362.16733315,329555.115816
5424.486,25.231,2362.16733315,329555.115816
5319.618,17.259,7828.14415003,199602.463793
5291.99,18.826,10499.2714383,199607.569815
5854.57,15.794,4280.67859388,176713.574811
5846.654,15.804,4279.02543018,176711.095489
5060.153,16.617,4280.72744352,176713.426039
5060.153,16.617,4280.72744352,176713.426039
5764.121,10.373,4899.8930886,41157.4528797
5255.244,13.868,4969.71408282,99671.2247373
5034.101,12.515,2061.24162426,59160.3294014
5015.331,12.276,1655.78032,56602.6731954
5255.297,12.682,1840.66320181,64355.6481801
5255.297,12.682,1840.66320181,64355.6481801
5348.666,12.128,7185.64295298,67198.9481111
5306.265,11.179,3920.95683406,67248.3642015
5096.622,11.305,6188.54534063,78489.9285448
5043.653,11.19,6038.20094913,73842.6096275
5187.266,11.976,5904.28803405,76793.90159
5093.962,11.308,6188.3792696,78489.1877236
5167.091,11.265,6188.3792696,78489.1877236
5306.248,18.504,3858.95496643,208717.256988
5220.561,15.401,7394.84164846,193021.18404
5413.23,13.883,7309.27860493,121767.08398
5323.054,12.366,6296.49562536,126270.525483
5289.713,11.199,9461.11556381,59149.6161485
5277.807,11.237,7491.01979792,62097.8858656
5288.694,21.709,22621.3569617,482580.209232
5372.462,10.945,4370.65999685,59793.8018078
5031.787,14.552,3546.02792382,137665.317447
5264.708,15.698,15446.5442744,196130.36414
5743.574,16.225,14422.1828669,191631.477327
5203.743,17.736,5889.74573479,105506.571374
4999.831,13.222,16650.2603977,174734.153176
5324.743,10.725,5992.5772252,40047.0680633
5324.743,10.725,5992.5772252,40047.0680633
5295.915,12.67,10539.1765706,116714.092999
5293.256,13.606,5745.35402771,139248.706158
5252.02,18.17,25162.7862273,241327.255714
5284.467,10.306,3077.77746229,71018.6231049
5317.148,10.998,4153.99249115,92363.6288018
5469.061,12.565,8149.39077935,120300.445348
5572.598,12.788,8272.45339576,124299.721592
5736.624,13.388,8153.86299814,113321.120591
6221.781,13.408,8158.99528112,113320.971342
5388.828,17.235,8781.66998155,280939.833086
5279.639,13.033,5535.33555284,134856.949523
5562.952,15.276,8825.08669438,100087.180759
5336.302,16.4,5178.01755364,96275.5662755
5274.801,12.571,4759.60126285,77864.3857541
5253.603,9.283,10987.0058228,51577.6249079
5275.325,11.582,20842.1838485,135099.463279
5349.224,14.03,4830.20400615,73374.1382719
5717.409,17.508,4395.12818992,111252.730429
4809.927,17.053,4754.50365144,115870.116974
5264.915,16.938,4754.67500661,115870.563635
5727.955,17.443,4361.75200551,113385.505736
4759.633,17.054,4703.55813439,112764.05894
5705.684,17.539,4399.73145577,111252.372803
5722.212,17.509,4398.28598744,111253.095038
4961.517,17.42,4399.73145577,111252.372803
5389.846,17.391,4398.28598744,111253.095038
5300.933,21.071,25966.5947124,331922.134918
5743.324,12.312,6492.84767519,109930.152321
4733.941,12.439,6492.84767519,109930.152321
5602.951,18.26,1495.54886664,130293.873443
5409.683,12.713,2819.93840532,103000.589213
5296.521,10.961,9842.4610492,68944.0223089
5231.332,11.242,3596.78780526,51928.0651839
5159.157,11.08,5362.58256022,67625.8857458
5229.679,11.42,1627.64669056,44095.4500023
5264.172,12.151,2346.44274077,77401.2547405
5314.338,14.919,8872.70778568,167973.211483
5348.025,30.448,26412.8556939,958178.183657
5276.478,16.683,8969.35132614,182792.349047
5242.67,12.547,5103.94944043,83851.6897162
5237.192,12.33,5504.72354489,70208.4727079
5293.53,12.134,4605.77333811,118986.764204
5422.013,12.378,4301.21809348,119330.712862
5300.089,26.494,5058.93737709,297508.165118
5272.831,10.055,11446.7812428,63887.7949657
5270.443,11.847,3319.8178502,78624.6886063
5270.895,11.844,9953.36577667,117428.618942
5282.263,12.475,2467.14878165,85595.8030044
5663.598,16.608,11994.9453727,210957.649338
5303.071,12.342,2882.89251484,53990.1433355
5305.923,14.732,1421.17001745,94374.2612161
5242.989,15.734,483.537716419,116741.4614
5098.392,26.613,3894.83776018,176384.507209
5039.486,27.496,4095.73162766,173510.326849
5356.003,27.708,3807.34976854,182799.704016
6163.617,28.325,3913.92234415,173321.837378
5039.486,27.496,4095.73162766,173510.326849
5551.816,27.817,3807.34976854,182799.704016
6163.617,28.325,3913.92234415,173321.837378
5318.48,13.079,9916.24975579,108509.254242
4762.5,11.965,6583.02583299,166260.827155
5266.305,12.696,6761.77612692,162548.081179
5464.829,10.58,567.404920405,35845.0911103
5261.249,12.513,17345.786791,204018.641943
5314.209,13.906,7723.69111366,107302.019949
4792.219,11.956,6212.24992966,86557.3953251
4911.299,11.838,6212.24992966,86557.3953251
5844.934,15.103,7939.68037629,98675.6117064
5001.72,12.996,10451.9447283,92775.986909
5283.413,17.965,6545.2153913,82945.3247262
5270.012,16.692,6791.24572726,64715.9109131
5266.176,12.328,10399.7618007,112619.885445
5296.576,13.338,8350.33731735,81742.8177765
5414.833,13.332,8298.34098982,77348.2240804
5140.001,13.235,7791.54210287,78189.0423548
5140.001,13.235,7791.54210287,78189.0423548
5450.836,14.09,11578.6977988,130091.182521
5267.034,15.454,6743.28637517,154657.588277
4932.931,15.212,5791.32067758,150929.340521
5281.115,14.316,4844.93358399,125159.808794
5293.098,16.727,9786.35193164,180859.115608
5293.244,11.087,16827.0559876,93279.108672
5440.504,11.968,3300.50442716,63688.4779052
5443.063,11.96,3300.45970363,63688.6153994
5291.906,12.033,3300.14451408,63685.9426401
5291.906,12.033,3300.14451408,63685.9426401
5290.367,13.694,11052.3030392,53703.4011671
5292.946,14.736,9106.09856882,180056.661138
5226.904,27.274,5823.35598518,149362.28405
4948.08,11.689,7558.26649639,78962.718877
5255.294,11.478,1737.94481719,48972.657864
5278.292,16.017,12215.0325873,297457.000177
5317.631,15.277,17733.5542813,517922.895331
5278.14,12.499,10805.5438857,107630.732781
5297.827,11.987,10021.1357635,148541.107055
5307.03,11.772,6396.54146102,61287.1178016
5275.822,10.739,4284.35050714,54563.6043062
5346.097,14.199,12891.1866754,105370.119525
5282.366,12.307,7818.12569721,101466.785899
5287.973,11.68,8925.12632423,65716.7308177
5214.597,15.303,9834.30867791,187365.845662
5192.327,10.504,3225.14843288,50204.2198095
5447.464,13.451,1925.00937746,125574.245728
5239.953,15.645,11297.4340894,180344.823338
4972.009,10.795,4669.21345627,62754.9948084
5249.283,11.171,5014.2936634,68709.0025838
5394.286,14.669,30630.5173284,189052.222686
5347.747,10.452,883.176497932,67331.9024568
5297.025,12.473,798.785406289,135309.877787
5289.535,14.837,29027.870123,151024.149458
5275.948,9.629,5112.1512765,37528.9263244
5604.073,11.164,8482.56967633,99970.8648719
5324.713,11.63,9739.76339639,115188.371938
5667.049,17.392,10864.2697049,230825.216501
5275.084,20.775,14419.4687056,269445.538003
6021.733,20.617,11839.995097,243171.155514
6335.353,20.759,11839.995097,243171.155514
5255.855,9.248,7455.05217308,61878.9464622
5277.399,12.012,3047.87699005,78549.9737646
5368.004,11.447,12405.9229138,88503.9949538
5511.766,12.356,11179.0421989,106195.201413
5281.598,18.047,3229.6269098,142525.7363
5631.794,14.494,8686.08163151,143017.355923
5631.794,14.494,8686.08163151,143017.355923
5292.649,10.623,3737.96003442,52362.7391849
5296.135,10.949,6163.27496612,65374.3947114
5608.331,10.835,5605.6175777,63395.718114
5264.025,10.902,5605.6175777,63395.718114
5295.128,17.026,26147.5976919,167760.070665
5303.727,17.008,26148.1670276,167764.782208
5328.939,18.195,9859.13525843,325041.507692
5258.012,18.287,9860.48402717,325062.728854
5649.375,14.289,9963.51539511,125844.990341
5271.443,12.957,3810.16224746,89427.6948807
5281.122,16.827,13612.1610132,243019.755545
5306.819,11.397,9385.00028425,61616.4044771
5285.178,20.527,10376.9600424,265600.290485
5315.872,18.404,2264.80121763,143033.661604
5282.211,19.332,13999.2968967,464132.743323
5289.477,12.201,15214.9042285,135495.248791
5300.833,14.811,9392.66292389,111772.399918
5284.27,15.574,6118.73893029,115837.054737
5280.489,9.746,2840.48344072,53102.4740081
5236.457,26.09,12497.6000455,488285.763291
5618.073,10.363,7226.00360089,45643.0045911
5322.225,11.841,4260.61379133,108669.335362
5239.651,10.77,6831.18341025,81561.6757233
5273.611,15.534,3345.27706356,212709.737142
6127.904,15.036,15638.2019268,142414.779325
5433.203,11.555,3420.45989401,46126.3055789
4666.351,19.178,14191.5705034,210349.774052
5339.385,14.644,3594.4577346,109718.544306
5262.873,11.69,8362.51085563,101597.634427
5553.72,10.316,7296.16758758,43913.4663979
5281.551,14.116,7366.25443365,191687.8789
4850.07,12.383,4502.72366865,128744.003762
4850.07,12.383,4502.72366865,128744.003762
5227.662,10.268,1781.38409494,58500.038745
5297.037,11.563,1834.37692204,50889.6618688
5297.119,12.588,8810.67030368,124169.971745
5470.349,11.159,3651.52003255,62905.5605079
5290.53,12.367,2191.66647846,57650.0450651
5280.639,12.946,18912.4664361,250041.519901
5293.807,13.174,8688.58352758,130318.903929
5109.913,16.345,8003.55094033,92544.1873602
5117.505,16.324,8052.5926007,92976.947811
5310.366,34.546,11233.4620442,523708.281877
5006.812,15.254,7655.36240669,143993.011978
5321.243,15.771,8411.20851039,155029.465528
4882.235,14.932,7384.1859958,143518.408286
5015.118,15.263,7654.10498982,143992.096335
5003.38,15.264,7653.8757892,143983.576197
5003.38,15.264,7653.8757892,143983.576197
5327.15,9.998,8199.6364943,39987.2809952
6166.412,12.104,2302.29311828,71932.5333647
5219.582,10.842,3897.37420131,63151.4973229
5398.469,15.114,3975.17702471,142578.475983
5545.483,15.58,3975.45512128,150819.783568
4915.476,15.464,3159.45194266,144712.453667
4915.476,15.464,3159.45194266,144712.453667
5264.626,10.89,3712.20049957,49086.3405994
5266.448,14.796,1423.51108127,134643.935183
5264.445,14.203,5536.37435224,114269.457933
5289.548,12.472,8742.75291757,111783.954869
5356.134,10.387,1018.45652406,51575.5166596
5282.105,17.587,2775.00252836,64252.7725362
5368.249,14.468,1317.12657144,83461.2336304
5890.03,15.084,2368.99519976,94629.7177966
5929.458,15.078,2368.99519976,94629.7177966
5005.004,15.828,1679.82492019,56362.5582414
4856.116,11.487,906.913482643,75027.6814576
4784.568,11.828,763.477464893,75602.6651068
4924.593,12.769,5696.43384698,146742.437378
5332.298,14.393,17961.4908958,195496.127696
5264.064,12.394,8075.08439844,86261.2240276
5420.563,12.529,7555.8822152,86214.3694042
5420.563,12.529,7555.8822152,86214.3694042
5340.544,18.105,12727.323766,172199.22527
5337.034,18.084,12730.8500386,172203.674441
5225.393,18.267,12726.4716894,172211.139453
5337.409,18.107,12726.4716894,172211.139453
5254.27,13.904,8206.5883106,106017.614131
5236.363,15.689,10061.9193675,138378.002436
5156.07,16.92,7098.92332784,100006.196147
5302.37,13.448,15965.5134266,106148.86933
6027.304,14.278,14507.5402169,97933.8163307
5916.391,13.934,15269.7140312,104064.878556
5916.391,13.934,15269.7140312,104064.878556
5175.559,15.149,9503.99030663,146584.565917
5295.043,14.636,6309.87671611,127580.702239
5354.521,10.958,3164.43282085,81271.6493218
5332.013,12.076,899.004959386,92931.8285038
4715.621,10.88,1502.14984822,83214.5291587
4672.35,11.013,1109.97744108,75299.7214171
4790.364,10.937,1109.97744108,75299.7214171
5280.147,11.981,7380.27819598,57868.730631
5751.463,13.85,2691.75847061,120159.543547
5553.806,11.103,2229.19501087,54021.1736953
5538.918,12.657,5966.68755328,87438.477032
4824.794,9.353,4113.42853408,41558.4035311
5427.476,15.335,7591.63629019,162980.804995
5279.687,13.713,17494.3247151,113245.671434
5308.955,12.786,7218.26233028,90661.8365659
5508.709,13.135,6612.26379344,87116.5822444
5424.38,13.419,7844.01694481,120479.909146
5251.099,12.36,16532.8764332,69144.4852443
5247.422,16.258,15754.1309491,277159.405739
5244.324,14.01,6881.05148742,93807.6425292
5286.36,14.242,6266.63068388,88520.0764358
5445.899,14.122,6266.63068388,88520.0764358
5816.027,11.895,903.682162323,59208.156761
5263.428,15.53,9988.46935239,167461.683026
5286.738,10.77,9336.67670693,47492.7198355
5558.096,15.678,11903.6362087,247294.879249
5276.549,10.616,4790.31115613,49614.2066185
5280.1,13.429,8924.04605748,66424.0905185
5278.585,16.6,3712.74020509,138525.563076
5257.887,13.201,4052.70770322,76709.4210184
5014.936,13.229,4051.98531208,76714.26603
5187.285,8.882,2653.58215467,49535.2966282
5265.847,16.231,8454.43492924,101267.331852
5580.927,39.525,4051.23520874,201043.702401
5746.192,16.899,10661.9682927,173746.45492
5427.167,13.802,7640.01995205,89331.1647734
6297.492,14.866,6684.04296829,90782.6569626
5483.727,16.213,9536.41725799,166261.48996
5662.126,17.038,9759.92459656,166191.053736
6401.06,17.402,9596.39343794,163988.485043
5094.013,16.3,10197.8487979,172526.225925
6806.752,18.016,11149.554757,179431.382024
5387.255,16.938,11780.3836324,187968.523938
4601.488,14.244,10619.5311242,172300.172931
5848.193,15.258,10619.5311242,172300.172931
5247.532,15.707,2428.37528978,145704.707562
5293.038,19.256,4257.28927282,118432.233228
5287.304,13.762,5458.96726007,95106.4674807
5279.534,13.77,5459.3171377,95099.7287274
5287.786,13.753,5460.40987233,95103.7349471
5390.427,13.728,5460.40987233,95103.7349471
5383.884,20.234,16286.8954445,334114.620115
5305.523,13.877,12867.7855861,92054.9701064
5292.406,8.694,3417.68260032,25958.2607854
5276.021,14.755,5178.16036835,167046.476429
5165.3,12.242,11162.8862402,114924.831881
5253.257,11.111,10568.5770357,106499.767382
5291.759,11.444,7568.21346782,55726.7389668
5436.076,16.556,8262.70012791,162519.858587
5307.387,22.52,19995.2508904,285257.141799
6232.569,24.635,17178.9884362,242099.844883
5555.262,15.397,1259.14654914,148209.998757
5959.979,14.939,16546.3070221,131631.827893
5262.722,12.889,2135.48890348,65847.9367159
5501.703,13.42,1433.79166367,65684.7905293
5725.909,13.503,1433.79166367,65684.7905293
5961.488,11.835,4954.94047093,77137.8844271
5491.867,13.815,3324.18361256,127463.453902
5661.514,14.221,8258.8742037,86242.6888355
5161.948,12.3,6407.2547401,105759.24506
5310.24,12.554,4421.09400164,103737.052513
5846.514,13.698,4176.17188872,130352.334372
5951.693,14.454,5674.05701735,120432.268281
